seg1,seg2,dis
110+04811,110+04812,5.18
110+04812,110+04813,3.78
110+04813,110+04814,2.65
110+04814,110+04815,3.47
110+04815,110P04815,2.67
110P04815,110+04817,5.82
110+04817,110+04818,3.51
110+04818,110+04819,1.09
110+04819,110+04821,0.81
110+04818,110P04847,6.15
110P04847,110P04848,0.88
110P04848,110+04851,1.37
110+04851,110+04853,1.26
110+04853,110+04944,1.39
110+04853,110N04795,1.07
110+04853,110+04785,1.52
110+04821,110N04907,2.18
110N04907,110-04906,1.13
110-04906,110-04905,2.48
110-04905,110-04904,3.01
110-04904,110N04903,6.4
110N04903,110-04902,4.1
110-04904,110N04774,6.44
110N04774,110N15859,4.73
110N15859,110-04773,2.34
110-04773,110-04772,7.18
110-04904,110+04776,5.79
110+04821,110+04792,1.22
110+04792,110+04793,0.4
110+04793,110+04794,1.56
110+04794,110+04795,1.66
110+04795,110P04784,1.48
110P04784,110+04785,0.87
110+04785,110+04786,0.93
110+04786,110+04787,0.93
110+04787,110+04788,2.13
110+04788,110+04789,2.26
110+04789,110-04953,1.91
110+04789,110+04955,1.37
110+04955,110P04956,2.77
110P04956,110+04957,2.54
110+04957,110+04958,4.39
110+04958,110P04958,1.88
110+04795,110N04853,1.39
110N04853,110N04851,1.11
110N04851,110-04848,1.39
110-04848,110-04847,0.5
110-04847,110-04846,0.71
110-04846,110N04818,5.54
110-04846,110+04819,5.42
110N04818,110N04817,1.26
110N04817,110-04816,3.03
110-04816,110N04815,5.78
110N04815,110-04814,2.46
110-04814,110-04813,3.46
110-04813,110-04812,2.66
110-04812,110-04811,4.24
110-04811,110-04810,5.2
110+04795,110+04944,2.73
110+04944,110P04944,0.95
110P04944,110+04946,1.45
110+04946,110P04948,4.43
110P04948,110P04949,2.29
110P04949,110+04950,1.31
110+04950,110+04952,4.42
110+04950,110-04958,2.76
110-04958,110N04958,1.11
110N04958,110-04956,6.2
110-04956,110-04955,3.54
110-04955,110-04953,3.92
110-04955,110N04788,3.55
110N04788,110N04787,2.48
110N04787,110-04785,2.01
110-04785,110N04785,0.7
110N04785,110+04944,1.49
110N04785,110N04853,1.52
110N04785,110N04795,2.06
110P04958,110+04952,4.08
110P04958,110N04950,2.71
110N04950,110N04949,2.49
110N04949,110N04948,1.98
110N04948,110N04947,3.19
110N04947,110N04945,2.17
110N04945,110-04943,1.9
110-04943,110N04853,1.33
110N04853,110N04851,1.11
110-04943,110N04795,2.4
110N04795,110-04793,1.9
110-04793,110N04793,1.35
110N04793,110-04791,0.53
110-04791,110N04907,2.56
110-04791,110N04821,0.9
110N04821,110N04818,1.55
110-04943,110P04784,1.46
110P04784,110+04785,0.87
110+04773,110+15859,7.6
110+15859,110+04774,4.26
110+04774,110+04775,3.35
110+04775,110-04902,3.97
110+04775,110+04776,2.88
110+04775,110P04903,0.7
110P04903,110+04904,2.92
110+04904,110+04905,3.66
110+04905,110+04906,2.99
110+04906,110+04907,2.58
110+04907,110+04792,3.14
110+04907,110+04821,2.49
110+04903,110N04774,4.72
110+04903,110+04776,5.46
110+04903,110P04903,4.1
110-04775,110N04774,3.72
110-04775,110-04902,5.52
110-04775,110+04904,2.51
110-04789,110N04789,1.59
110N04789,110N04788,2.97
110-04789,110+04955,2.06
110-04789,110-04953,3.13
110N04951,110N04950,1.6
110N04951,110-04958,1.82
