epoch,training_loss,training_rmse,validation_loss,validation_rmse,validation_mae,validation_mape,cvalidation_rmse,cvalidation_mae,cvalidation_mape,validation_conAccuracy,validation_nonconAccuracy,test_rmse,test_mae,test_mape,ctest_rmse,ctest_mae,ctest_mape,test_conAccuracy,test_nonconAccuracy
0,205.1949096,3.247247009,26.70117651,3.039320053,1.249344563,0.026711023,3.8,1.362494659,0.030481913,86.93366841,85.32072573,3.01457107,1.232100669,0.026472276,6.7,1.32288222,0.029560497,87.49842629,85.32837733
1,187.2393856,3.061582559,26.2924709,2.97883099,1.236942711,0.026087563,3.75,1.34888073,0.029727349,87.09383406,85.6059926,2.946276923,1.217954485,0.025772341,3.75,1.30876433,0.028815767,87.73718099,85.75633523
2,183.3053705,3.018108099,25.94804628,2.950566942,1.217878531,0.025588345,3.25,1.330464929,0.029230601,87.22302846,85.86033893,2.916905624,1.197961162,0.025254907,3.25,1.288544279,0.028325599,87.81856441,86.00647964
3,180.4610357,2.989031904,25.51572577,2.933492054,1.206261691,0.025413562,3.14,1.313607259,0.02906744,87.39558261,85.92317743,2.901267834,1.185649073,0.025053966,3.14,1.271644557,0.028073404,88.00156472,86.11296682
4,178.1962041,2.965295954,25.65938109,2.943134137,1.217784908,0.02544381,3.12,1.329317583,0.029134772,87.40708622,86.05184675,2.901267834,1.185649073,0.025053966,3.12,1.271644557,0.028073404,88.00156472,86.11296682
5,178.5756004,2.96576626,25.8253077,2.943352136,1.227179198,0.025659859,3.11,1.340652842,0.029404477,87.33540988,86.02292109,2.901267834,1.185649073,0.025053966,3.11,1.271644557,0.028073404,88.00156472,86.11296682
6,178.7017494,2.968870816,25.9607214,2.946474281,1.225881065,0.025640231,3.12,1.338341128,0.02936629,87.13719383,85.86333124,2.901267834,1.185649073,0.025053966,3.12,1.271644557,0.028073404,88.00156472,86.11296682
7,178.710977,2.971443394,26.05348269,2.959901701,1.243874123,0.025887063,3.12,1.359613773,0.029674633,87.24780547,85.89824152,2.901267834,1.185649073,0.025053966,3.12,1.271644557,0.028073404,88.00156472,86.11296682
8,178.8800474,2.970657565,25.70717359,2.944231118,1.215113142,0.025551653,3.09,1.328148728,0.029239942,87.32302138,85.9521031,2.901267834,1.185649073,0.025053966,3.09,1.271644557,0.028073404,88.00156472,86.11296682
9,,,,,,,3.08,,,,,,,,3.08,,,,
10,,,,,,,3.08,,,,,,,,3.08,,,,
11,,,,,,,3.07,,,,,,,,3.07,,,,
12,,,,,,,3.07,,,,,,,,3.07,,,,
13,,,,,,,3.05,,,,,,,,3.05,,,,
14,,,,,,,3.06,,,,,,,,3.06,,,,
15,,,,,,,3.05,,,,,,,,3.05,,,,
16,,,,,,,3.04,,,,,,,,3.04,,,,
17,,,,,,,3.03,,,,,,,,3.03,,,,
18,,,,,,,3.02,,,,,,,,3.02,,,,
19,,,,,,,3.01,,,,,,,,3.01,,,,
20,,,,,,,3.02,,,,,,,,3.02,,,,
21,,,,,,,3.01,,,,,,,,3.01,,,,
22,,,,,,,3.01,,,,,,,,3.01,,,,
23,,,,,,,3.01,,,,,,,,3.01,,,,
24,,,,,,,3.01,,,,,,,,3.01,,,,
25,,,,,,,3.01,,,,,,,,3.01,,,,
26,,,,,,,3.01,,,,,,,,3.01,,,,
27,,,,,,,3.01,,,,,,,,3.01,,,,
28,,,,,,,3.01,,,,,,,,3.01,,,,
29,,,,,,,3.01,,,,,,,,3.01,,,,
30,,,,,,,3.01,,,,,,,,3.01,,,,
31,,,,,,,3.01,,,,,,,,3.01,,,,
32,,,,,,,3.01,,,,,,,,3.01,,,,
33,,,,,,,3.01,,,,,,,,3.01,,,,
34,,,,,,,3.01,,,,,,,,3.01,,,,
35,,,,,,,3.01,,,,,,,,3.01,,,,
36,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,
